"","aged","bwtr14"
"1050",0,9
"1051",77,7
"1052",0,6
"1053",0,6
"1054",168,10
"1055",16,10
"1056",20,7
"1057",41,8
"1058",0,1
"1059",69,7
"1060",132,10
"1061",47,8
"1062",0,4
"1063",0,4
"1064",2,8
"1065",17,9
"1066",96,9
"1067",26,5
"1068",137,9
"1069",101,4
"1070",0,6
"1071",0,2
"1072",0,2
"1073",11,8
"1074",1,5
"1075",33,8
"1076",0,5
"1077",29,5
"1078",242,8
"1079",0,8
"1080",0,1
"1081",0,2
"1082",0,1
"1083",150,8
"1084",247,11
"1085",1,8
"1086",331,9
"1087",0,1
"1088",107,12
"1089",2,2
"1090",38,9
"1091",103,9
"1092",0,7
"1093",86,6
"1094",0,2
"1095",0,1
"1096",9,2
"1097",168,9
"1098",3,9
"1099",0,3
"1100",3,8
"1101",163,2
"1102",51,8
"1103",0,1
"1104",0,1
"1105",126,9
"1106",30,2
"1107",65,9
"1108",17,2
"1109",0,1
"1110",0,7
"1111",71,8
"1112",44,9
"1113",0,2
"1114",0,1
"1115",0,1
"1116",0,1
"1117",64,7
"1118",14,2
"1119",98,9
"1120",0,1
"1121",24,8
"1122",8,4
"1123",240,9
"1124",0,9
"1125",193,9
"1126",68,8
"1127",83,9
"1128",0,1
"1129",0,1
"1130",0,3
"1131",2,6
"1132",15,2
"1133",72,8
"1134",0,4
"1135",0,2
"1136",0,1
"1137",94,8
"1138",33,9
"1139",0,1
"1140",14,8
"1141",117,9
"1142",49,10
"1143",0,1
"1144",173,6
"1145",0,1
"1146",93,8
"1147",0,3
"1148",11,2
"1149",67,9
"1150",0,8
"1151",0,6
"1152",0,7
"1153",0,2
"1154",30,7
"1155",0,1
"1156",318,8
"1157",25,7
"1158",64,9
"1159",0,1
"1160",0,1
"1161",0,1
"1162",116,9
"1163",0,4
"1164",5,9
"1165",235,9
"1166",60,11
"1167",2,8
"1168",123,5
"1169",64,9
"1170",0,2
"1171",53,6
"1172",1,2
"1173",0,2
"1174",118,5
"1175",0,1
"1176",0,4
"1177",0,5
"1178",114,10
"1179",116,9
"1180",14,7
"1181",113,12
"1182",0,1
"1183",94,4
"1184",0,3
"1185",284,8
"1186",0,8
"1187",0,9
"1188",0,2
"1189",0,2
"1190",143,6
"1191",0,2
"1192",227,10
"1193",52,4
"1194",0,9
"1195",3,2
"1196",0,1
"1197",0,1
"1198",194,9
"1199",232,9
"1200",96,8
"1201",11,7
"1202",11,12
"1203",94,10
"1204",230,10
"1205",0,2
"1206",0,6
"1207",0,1
"1208",0,1
"1209",0,3
"1210",0,2
"1211",0,8
"1212",352,7
"1213",0,7
"1214",0,9
"1215",0,1
"1216",0,1
"1217",0,1
"1218",0,2
"1219",26,4
"1220",0,1
"1221",3,1
"1222",4,11
"1223",74,8
"1224",99,8
"1225",0,8
"1226",0,9
"1227",43,8
"1228",49,8
"1229",61,8
"1230",61,9
"1231",0,1
"1232",5,2
"1233",0,7
"1234",353,8
"1235",257,8
"1236",145,8
"1237",261,9
"1238",23,8
"1239",166,9
"1240",92,8
"1241",136,11
"1242",55,8
"1243",136,9
"1244",12,7
"1245",22,2
"1246",4,12
"1247",2,2
"1248",2,2
"1249",17,3
"1250",0,2
"1251",0,2
"1252",14,2
"1253",0,2
"1254",146,5
"1255",81,9
"1256",4,6
"1257",1,5
"1258",0,2
"1259",0,1
"1260",0,1
"1261",12,8
"1262",4,9
"1263",6,10
"1264",26,2
"1265",0,8
"1266",32,13
"1267",102,7
"1268",0,3
"1269",136,9
"1270",126,9
"1271",0,1
"1272",36,9
"1273",5,2
"1274",248,6
"1275",236,5
"1276",67,8
"1277",14,1
"1278",47,8
"1279",16,10
"1280",7,7
"1281",0,3
"1282",0,1
"1283",0,1
"1284",0,2
"1285",73,8
"1286",232,8
"1287",0,1
"1288",196,3
"1289",55,9
"1290",43,9
"1291",66,10
"1292",0,1
"1293",67,7
"1294",4,9
"1295",12,9
"1296",0,4
"1297",201,9
"1298",0,2
"1299",11,8
"1300",99,8
"1301",0,2
"1302",0,2
"1303",4,4
"1304",0,1
"1305",15,2
"1306",2,2
"1307",76,2
"1308",31,10
"1309",0,2
"1310",9,4
"1311",0,6
"1312",0,1
"1313",0,9
"1314",8,3
"1315",2,9
"1316",0,5
"1317",70,9
"1318",1,4
"1319",2,9
"1320",0,1
"1321",0,2
"1322",98,6
"1323",0,7
"1324",0,2
"1325",0,2
"1326",0,2
"1327",38,3
"1328",50,9
"1329",0,3
"1330",250,6
"1331",0,1
"1332",31,10
"1333",60,8
"1334",59,6
"1335",1,1
"1336",11,8
"1337",64,11
"1338",35,2
"1339",0,1
"1340",35,8
"1341",3,7
"1342",108,6
"1343",51,2
"1344",2,3
"1345",36,8
"1346",342,5
"1347",0,6
"1348",0,1
"1349",0,6
"1350",0,2
"1351",0,7
"1352",0,2
"1353",17,9
"1354",13,7
"1355",0,4
"1356",0,1
"1357",0,1
"1358",75,8
"1359",48,5
"1360",0,1
"1361",0,1
"1362",0,2
"1363",1,2
"1364",18,9
"1365",176,10
"1366",134,2
"1367",344,9
"1368",0,2
"1369",139,3
"1370",0,2
"1371",4,9
"1372",1,10
"1373",2,1
"1374",111,8
"1375",0,4
"1376",0,2
"1377",50,6
"1378",1,2
"1379",4,7
"1380",7,2
"1381",230,2
"1382",1,1
"1383",20,1
"1384",0,2
"1385",33,10
"1386",10,9
"1387",25,2
"1388",42,2
"1389",3,2
"1390",0,6
"1391",0,1
"1392",0,1
"1393",0,2
"1394",1,1
"1395",0,1
"1396",0,1
"1397",0,2
"1398",28,8
"1399",0,2
"1400",0,5
"1401",0,5
"1402",49,7
"1403",0,5
"1404",15,2
"1405",306,8
"1406",0,1
"1407",0,1
"1408",67,10
"1409",52,8
"1410",0,1
"1411",126,8
"1412",1,1
"1413",48,9
"1414",126,9
"1415",74,9
"1416",0,1
"1417",2,3
"1418",6,8
"1419",10,7
"1420",2,10
"1421",15,3
"1422",0,1
"1423",97,9
"1424",128,8
"1425",223,7
"1426",1,5
"1427",2,9
"1428",0,7
"1429",0,1
"1430",77,9
"1431",1,3
"1432",0,1
"1433",2,7
"1434",250,11
"1435",30,8
"1436",80,9
"1437",2,2
"1438",5,2
"1439",92,7
"1440",2,8
"1441",0,8
"1442",111,9
"1443",0,1
"1444",0,2
"1445",37,2
"1446",115,8
"1447",96,10
"1448",18,9
"1449",0,1
"1450",88,8
"1451",209,10
"1452",3,7
"1453",31,7
"1454",0,6
"1455",69,9
"1456",183,9
"1457",0,1
"1458",0,1
"1459",8,2
"1460",0,11
"1461",0,1
"1462",0,1
"1463",12,8
"1464",40,10
"1465",4,3
"1466",0,2
"1467",2,10
"1468",3,2
"1469",0,2
"1470",0,1
"1471",2,2
"1472",62,11
"1473",56,6
"1474",0,4
"1475",40,6
"1476",0,1
"1477",0,1
"1478",0,2
"1479",2,3
"1480",0,1
"1481",12,4
"1482",0,10
"1483",0,8
"1484",73,10
"1485",0,11
"1486",149,2
"1487",0,5
"1488",5,6
"1489",25,9
"1490",15,8
"1491",0,6
"1492",66,9
"1493",174,9
"1494",2,7
"1495",3,7
"1496",33,9
"1497",1,3
"1498",0,2
"1499",65,2
"1500",0,1
"1501",8,4
"1502",0,14
"1503",1,1
"1504",12,1
"1505",0,8
"1506",298,9
"1507",25,2
"1508",330,9
"1509",0,1
"1510",0,8
"1511",0,9
"1512",1,10
"1513",296,2
"1514",0,2
"1515",0,1
"1516",0,1
"1517",179,9
"1518",3,9
"1519",133,9
"1520",0,1
"1521",13,4
"1522",0,7
"1523",0,3
"1524",35,8
"1525",219,2
"1526",0,1
"1527",0,2
"1528",0,2
"1529",30,6
"1530",8,2
"1531",229,9
"1532",259,10
"1533",107,10
"1534",0,6
"1535",3,7
"1536",0,9
"1537",220,8
"1538",12,8
"1539",164,3
"1540",1,2
"1541",1,2
"1542",0,7
"1543",50,9
"1544",223,9
"1545",89,9
"1546",109,8
"1547",281,7
"1548",0,1
"1549",1,8
"1550",0,2
"1551",0,2
"1552",5,7
"1553",20,7
"1554",121,8
"1555",1,1
"1556",1,1
"1557",0,1
"1558",9,5
"1559",30,1
"1560",0,1
"1561",74,9
"1562",0,1
"1563",33,9
"1564",0,2
"1565",273,13
"1566",15,6
"1567",0,6
"1568",0,2
"1569",90,6
"1570",0,2
"1571",4,9
"1572",1,1
"1573",59,9
"1574",0,3
"1575",144,9
"1576",111,7
"1577",0,1
"1578",52,8
"1579",7,9
"1580",54,10
"1581",1,1
"1582",0,1
"1583",9,9
"1584",23,2
"1585",1,2
"1586",0,2
"1587",3,3
"1588",1,3
"1589",83,8
"1590",309,7
"1591",0,1
"1592",0,1
"1593",4,4
"1594",260,6
"1595",0,1
"1596",96,10
"1597",0,2
"1598",0,2
"1599",0,2
"1600",6,6
"1601",0,1
"1602",0,2
"1603",0,1
"1604",204,10
"1605",0,1
"1606",0,1
"1607",139,8
"1608",5,7
"1609",0,2
"1610",0,1
"1611",0,1
"1612",5,10
"1613",0,1
"1614",0,5
"1615",259,7
"1616",0,2
"1617",0,2
"1618",1,1
"1619",5,4
